# score	source	age_h	payout_hint	tags	url	title
4	github	0.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Scottcjn/rustchain-bounties/issues/14383	[Bounty: 100 RTC] LangChain + MCP tool for staked self-improvement
4	github	0.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Scottcjn/rustchain-bounties/issues/14382	[Bounty: 75 RTC] Community gate — implement the open Judge interface
4	github	0.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Scottcjn/rustchain-bounties/issues/14381	[Bounty: 150 RTC] elyan-staking SDK — JavaScript/TypeScript client
4	github	1.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/xevrion-v2/agent-playground/issues/2207	[Bounty] Validate user creation payloads
3	sn/bitcoin	18.2	$300	OPEN_NEED	https://stacker.news/items/1514564	The Situation in Kramatorsk, Ukraine (Part 2)
3	github	42.4	100 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/Perihelion-Protocol/Perihelion/issues/71	SDK: `Intent` amounts are decimal strings but there is no decimals-aware helper to construct them from human units
2	github	27.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/jafardxb812-max/chainscout/pull/4	Add comprehensive wallet API routes and utilities for EVM chains
2	github	10.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/codegraphtheory/hermes-profile-template/issues/18	[0.25 SOL bounty] Add a README discovery optimizer for generated profile repositories
2	github	10.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/codegraphtheory/hermes-profile-template/issues/17	[0.25 SOL bounty] Add catalog submission generators for profile directories and resource lists
2	github	10.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/codegraphtheory/hermes-profile-template/issues/16	[0.25 SOL bounty] Create a demo kit that records terminal demos without leaking secrets
2	github	10.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/codegraphtheory/hermes-profile-template/issues/15	[0.25 SOL bounty] Ship a reusable GitHub Action for profile distribution validation
2	github	10.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/codegraphtheory/hermes-profile-template/issues/13	[0.25 SOL bounty] Add an interactive profile design wizard that writes profile.params.yaml
0	github	31.3	-	OPEN_ISSUE	https://github.com/StellarLock/StellarLock/issues/83	Add breadcrumb navigation for nested routes
0	github	64.0	-	OPEN_ISSUE	https://github.com/SO4-Markets/contracts/issues/248	chore: add Default impl for MarketProps to simplify test setup
0	github	66.4	-	OPEN_ISSUE	https://github.com/israelolrunfemi/use-stellar/issues/14	Implement useAsset hook and demo page
0	github	10.0	-	OPEN_ISSUE	https://github.com/codegraphtheory/hermes-profile-template/issues/19	[0.25 SOL bounty] Build a release readiness workflow with changelog, manifest, and install smoke report
0	github	10.0	-	OPEN_ISSUE	https://github.com/codegraphtheory/hermes-profile-template/issues/14	[0.25 SOL bounty] Add a profile quality scorecard with JSON and Markdown output
0	github	10.0	-	OPEN_ISSUE	https://github.com/codegraphtheory/hermes-profile-template/issues/12	[0.25 SOL bounty] Build a searchable examples gallery for generated Hermes profiles
0	github	14.0	-	OPEN_ISSUE	https://github.com/dwebagents/AgentPipe/issues/112	[Bounty: $200] Website
0	github	18.8	-	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/100	[radar] SN open bounty 2026-06-25T09:39
0	github	19.5	-	OPEN_ISSUE	https://github.com/dwebagents/AgentPipe/issues/107	[Bounty: 4 Golden Eggs] Implement golden egg factory inside goose
