# score	source	age_h	payout_hint	tags	url	title
6	sn/bitcoin	4.0	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1523320	How Banks Can Add Bitcoin Without Replacing Their Core System
4	github	2.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/ocheeluma/pactum-orchestrator/issues/1	Feature: Support USDC/EURC on Stellar directly as payment currencies
2	github	12.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/Yield-routes/Yield-routes-Frontend/issues/4	QA: manual testing of the swap quote and preview flows
2	github	14.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-IndigoPay/Stellar-IndigoPay/issues/66	Expand Soroban contract fuzz testing
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/18	[100 MRG] Bug hunt: array bounds edge cases in samples
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/17	[50 MRG] Docs: architecture diagram (orivm / oric / ori)
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/16	[50 MRG] CLI: ori create templates (console vs window)
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/15	[100 MRG] Chrome extension sample: options page
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/14	[25 MRG] Vietnamese README section (quickstart)
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/13	[50 MRG] Sample: crypto-safe demo using core crypto APIs
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/12	[200 MRG] E2E: self-host compiler fixpoint verified in CI
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/11	[50 MRG] Docs: .meta platform enum table keep in sync
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/10	[100 MRG] Built-in: safer http_get timeouts/errors
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/9	[50 MRG] Platform: Linux sample README smoke script
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/8	[100 MRG] Android sample: build notes + permission UX
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/7	[50 MRG] Web sample polish: mobile layout for WASM todo
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/6	[50 MRG] CLI: ori doctor more checks (paths, orb present)
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/5	[100 MRG] Compiler: better parse errors with line/col
2	github	0.8	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/4	[50 MRG] VM: clearer error messages for stack underflow
0	github	46.6	-	OPEN_ISSUE	https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/40355	[Feature]: Add react crypto liquid ripple modal component (38579)
